E,U,Frekans,Kaynak_IDler
haber siteleri,(https://tr.wikipedia.org/wiki/Elektronik_gazete),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
internet forumu,(https://tr.wikipedia.org/wiki/%C4%B0nternet_forumu),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
çevrimiçi arkadaşlık servisi,(https://tr.wikipedia.org/wiki/%C3%87evrimi%C3%A7i_arkada%C5%9Fl%C4%B1k_servisi),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
istihdam web sitesi,(https://tr.wikipedia.org/wiki/%C4%B0stihdam_web_sitesi),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
Kullanıcılar,(https://tr.wikipedia.org/wiki/Kullan%C4%B1c%C4%B1),1,"İnternet sitesi#8: Bir şirketin çalışanlarına yönelik dahili web sitesi gibi, yalnızca özel bir ağ ( intranet ) üzerinden erişilebilen özel web siteleri de vardır. Kullanıcılar web sitelerine masaüstü bilgisayarlar, dizüstü bilgisayarlar, tabletler ve akıllı telefonlar dahil olmak üzere çeşitli cihazlardan erişebilir."
web tarayıcısı,(https://tr.wikipedia.org/wiki/Web_taray%C4%B1c%C4%B1s%C4%B1),1,İnternet sitesi#9: Bu cihazlarda kullanılan uygulamaya web tarayıcısı denir.
arşiv sitesi,(https://tr.wikipedia.org/w/index.php?title=Ar%C5%9Fiv_sitesi&action=edit&redlink=1),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
tıkla bağışla siteleri,(https://tr.wikipedia.org/wiki/T%C4%B1kla_ba%C4%9F%C4%B1%C5%9Fla_siteleri),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
blog,(https://tr.wikipedia.org/wiki/Blog),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
Tim Berners-Lee,(https://tr.wikipedia.org/wiki/Tim_Berners-Lee),1,"URL#14: URL 1994 yılında Tim Berners-Lee tarafından oluşturulmuştur. | İnternet sitesi#12: CERN laboratuvarlarında bilgisayar profesörü olarak çalışan Tim Berners-Lee , üniversitelerdeki bilim insanları ve enstitüler arasında bilgi paylaşımı amacıyla 1989 yılında World Wide Web'i icat etmiş, 1990 yılında ise http://info.cern.ch 'yi kurmuştur."
