E,U,Frekans,Kaynak_IDler
Abbas Araqchi,https://en.wikipedia.org/wiki/Abbas_Araqchi,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#19
Under Secretary of State for Political Affairs,https://en.wikipedia.org/wiki/Under_Secretary_of_State_for_Political_Affairs,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#17
John Kerry,https://en.wikipedia.org/wiki/John_Kerry,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#27
Geneva,https://en.wikipedia.org/wiki/Geneva,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#11
Presidency,https://en.wikipedia.org/wiki/President_of_Iran,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#10
Foreign Minister,https://en.wikipedia.org/wiki/Foreign_Minister,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#14
Javad Zarif,https://en.wikipedia.org/wiki/Javad_Zarif,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#14
weapons-grade,https://en.wikipedia.org/wiki/Weapons-grade,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#67
Arak,https://en.wikipedia.org/wiki/Nuclear_facilities_in_Iran#Arak,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#67
heavy water research reactor,https://en.wikipedia.org/wiki/Heavy_water_reactor,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#67
spent fuel,https://en.wikipedia.org/wiki/Spent_fuel,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#68
nuclear reprocessing,https://en.wikipedia.org/wiki/Nuclear_reprocessing,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#68
Iran Nuclear Agreement Review Act of 2015,https://en.wikipedia.org/wiki/Iran_Nuclear_Agreement_Review_Act_of_2015,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#76
"Vienna, Austria","https://en.wikipedia.org/wiki/Vienna,_Austria",1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#77
United States Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#79
Jake Sullivan,https://en.wikipedia.org/wiki/Jake_Sullivan,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#80
Majid Takht-Ravanchi,https://en.wikipedia.org/wiki/Majid_Takht-Ravanchi,1,Negotiations leading to the Joint Comprehensive Plan of Action - Wikipedia#81
